name,type,parish,code,longitude,latitude
Blenheim,Rural,St. Andrew,DM01,-61.38330889,15.59270348
La Source,Rural,St. Andrew,DM01,-61.265827,15.516454
Providence,Rural,St.Andrew,DM01,-61.403699,15.612604
Anse de Mai,Rural,St. Andrew,DM01,-61.285722,15.246077
Au Park,Rural,St. Andrew,DM01,-61.26257108,15.50812855
Belmanier,Rural,St. Andrew,DM01,-61.37898374,15.30281123
Bense,Rural,St. Andrew,DM01,-61.3748196,15.3093858
Beryl,Rural,St. Andrew,DM01,-61.340173,15.423165
Calibishie,Rural,St. Andrew,DM01,-61.34784833,15.26624244
Caye-En-Boucs,Rural,St. Andrew,DM01,-61.40944,15.586599
Concorde,Rural,St. Andrew,DM01,-61.37557286,15.5883004
Delaford,Rural,St. Andrew,DM01,-61.401842,15.606722
Demitrie,Rural,St. Andrew,DM01,-61.466345,15.508969
Dos D'Ane,Rural,St. Andrew,DM01,-61.394139,15.591537
Enbas,Rural,St. Andrew,DM01,-61.251274,15.308442
Gommier,Rural,St. Andrew,DM01,-61.38878,15.373466
Hampstead,Rural,St. Andrew,DM01,-61.42084838,15.57885664
L'Autre Bord,Rural,St. Andrew,DM01,-61.34804006,15.59111366
La Haut,Rural,St. Andrew,DM01,-61.37305,15.75744
Lower Penville,Rural,St. Andrew,DM01,-61.388719,15.338048
Marigot,Rural,St. Andrew,DM01,-61.460809,15.631039
Melville Hall,Rural,St. Andrew,DM01,-61.263952,15.291887
Moore Park Estate,hamlet,St. Andrew,DM01,-61.263575,15.492444
Paix Bouche,Rural,St. Andrew,DM01,-61.25932,15.338253
Penville,village,St. Andrew,DM01,-61.424657,15.416678
Savane Paille,Rural,St. Andrew,DM01,-61.25750841,15.44351541
Thibaud,Rural,St. Andrew,DM01,-61.370542,15.284114
Upper Penville,Rural,St. Andrew,DM01,-61.307005,15.54805
Vieille Case,Rural,St. Andrew,DM01,-61.391647,15.345236
Wesley,Rural,St. Andrew,DM01,-61.375588,15.291258
Woodford Hill,Rural,St. Andrew,DM01,-61.46319875,15.62359643
Paradise Valley,Suburban,St. George,DM01,-61.361175,15.337095
Terre Plat,Rural,St. Andrew,DM01,-61.38805,15.329577
Mahaut River,Rural,St. David,DM02,-61.459984,15.620828
Atkinson,Rural,St. David,DM02,-61.461924,15.485813
Bataka,Rural,St. David,DM02,-61.273465,15.485492
Castle Bruce,Rural,St. David,DM02,-61.35742783,15.31287226
Gaulette,Rural,St. David,DM02,-61.355078,15.366079
Good Hope,Rural,St. David,DM02,-61.463749,15.615774
Grand Fond,Rural,St. David,DM02,-61.45083462,15.46096662
Morne Jaune,Rural,St. David,DM02,-61.427935,15.62742
Morpo,Rural,St. David,DM02,-61.266594,15.287862
Petite Soufriere,Rural,St. David,DM02,-61.423894,15.632685
Riviere Cyrique,Rural,St. David,DM02,-61.258516,15.427995
Salybia,Rural,St. David,DM02,-61.41141293,15.5841567
San Sauveur,Rural,St. David,DM02,-61.468246,15.515118
Sineku,Rural,St. David,DM02,-61.30384492,15.24768152
St. Cyr,Rural,St. David,DM02,-61.36075752,15.29654874
Tranto,Rural,St. David,DM02,-61.374086,15.30202
Dix Pas,Rural,St. David,DM02,-61.410728,15.617551
Rosalie,Rural,St. David,DM02,-61.364812,15.275223
Roger,Rural,St. George,DM03,-61.251342,15.311936
Bath Estate,Suburban,St. George,DM03,-61.357582,15.317067
Belle Vue Rawle,hamlet,St. George,DM03,-61.38645848,15.31497567
Bellevue Chopin,Rural,St. George,DM03,-61.282188,15.244964
Carib Territory,Rural,St. George,DM03,-61.37601612,15.29075702
Castle Comfort,Suburban,St. George,DM03,-61.35670519,15.2233341
Citronniere,Suburban,St. George,DM03,-61.254279,15.482902
Copt Hall,Suburban,St. George,DM03,-61.34805149,15.28874466
Eggleston,Rural,St. George,DM03,-61.45701082,15.56512071
Elmshall,Suburban,St. George,DM03,-61.406324,15.608584
Fond Baron,Rural,St. George,DM03,-61.25589207,15.41198808
